Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Variant Weight Unit,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
extra-hadassim,Extra hadassim,"<p>An additional bundle of three hadassim, same sorting standard.</p><p>Collected with your set at your host Beis Medrash.</p>",V'samachta Arba Minim,Arba Minim Extra,"Arba Minim, Lulav and Esrog, Sukkos 5787, Pre-order, Beis Medrash pickup",FALSE,Title,Default Title,VS-5787-EXTRAHADASSIM,0,,deny,manual,12.00,TRUE,TRUE,g,https://4minimset.com/img/hadassim-01.jpg,1,Three hadassim branches laid on cloth,Extra hadassim - V'samachta Arba Minim,"An additional bundle of three hadassim, same sorting standard.",draft
extra-aravos,Extra aravos,<p>A fresh replacement bundle for Chol HaMoed.</p><p>Collected with your set at your host Beis Medrash.</p>,V'samachta Arba Minim,Arba Minim Extra,"Arba Minim, Lulav and Esrog, Sukkos 5787, Pre-order, Beis Medrash pickup",FALSE,Title,Default Title,VS-5787-EXTRAARAVOS,0,,deny,manual,6.00,TRUE,TRUE,g,https://4minimset.com/img/aravos-crop.jpg,1,Fresh aravos on a reddish stem,Extra aravos - V'samachta Arba Minim,A fresh replacement bundle for Chol HaMoed.,draft
koishiklach,Koishiklach (lulav rings),<p>Set of woven lulav rings for binding.</p><p>Collected with your set at your host Beis Medrash.</p>,V'samachta Arba Minim,Arba Minim Extra,"Arba Minim, Lulav and Esrog, Sukkos 5787, Pre-order, Beis Medrash pickup",FALSE,Title,Default Title,VS-5787-KOISHIKLACH,0,,deny,manual,5.00,TRUE,TRUE,g,https://4minimset.com/img/hero-real.jpg,1,Esrogim and hadassim on the table of a Daled Minim market,Koishiklach (lulav rings) - V'samachta Arba Minim,Set of woven lulav rings for binding.,draft
